Categoria;Palabras clave;Frecuencia al interior del grupo;Frecuencia entre los grupos
Ventas - Comercial - Administración;rafael;1;1
Servicio al cliente;retencion;49;3
Ventas - Comercial - Administración;retencion;59;3
Marketing;retencion;2;3
Operativo;nqr;5;1
Operativo;refrigeracion;48;3
Talento TI;refrigeracion;1;3
Ventas - Comercial - Administración;refrigeracion;7;3
Servicio al cliente;norteamericano;3;1
Ventas - Comercial - Administración;cooperativa;4;2
Financiero;cooperativa;4;2
Servicio al cliente;comerciarles;1;1
Operativo;tabio;2;1
Ventas - Comercial - Administración;briceño;1;1
Servicio al cliente;medicas;2;4
Salud;medicas;4;4
Ventas - Comercial - Administración;medicas;7;4
Operativo;medicas;7;4
Ventas - Comercial - Administración;unete;3;3
Financiero;unete;1;3
Servicio al cliente;unete;6;3
Ventas - Comercial - Administración;computacion;1;1
Psicologia;psicologa;39;3
Servicio al cliente;psicologa;1;3
